Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-07 00:00:00+09:00,2591.580078125,2607.360107421875,2580.7099609375,2580.7099609375,504100,0.0,0.0
2023-08-08 00:00:00+09:00,2598.2900390625,2601.409912109375,2568.14990234375,2573.97998046875,637000,0.0,0.0
2023-08-09 00:00:00+09:00,2580.60009765625,2608.97998046875,2576.2099609375,2605.1201171875,466000,0.0,0.0
2023-08-10 00:00:00+09:00,2592.39990234375,2601.56005859375,2590.02001953125,2601.56005859375,566500,0.0,0.0
2023-08-11 00:00:00+09:00,2611.25,2616.840087890625,2589.93994140625,2591.260009765625,672200,0.0,0.0
2023-08-14 00:00:00+09:00,2586.510009765625,2592.909912109375,2561.8798828125,2570.8701171875,622800,0.0,0.0
2023-08-16 00:00:00+09:00,2550.1298828125,2550.530029296875,2520.8701171875,2525.639892578125,683200,0.0,0.0
2023-08-17 00:00:00+09:00,2512.919921875,2520.56005859375,2482.06005859375,2519.85009765625,733900,0.0,0.0
2023-08-18 00:00:00+09:00,2495.179931640625,2519.60009765625,2489.6298828125,2504.5,556400,0.0,0.0
2023-08-21 00:00:00+09:00,2511.699951171875,2524.409912109375,2505.590087890625,2508.800048828125,398600,0.0,0.0
2023-08-22 00:00:00+09:00,2528.389892578125,2533.429931640625,2509.530029296875,2515.739990234375,471000,0.0,0.0
2023-08-23 00:00:00+09:00,2510.0,2517.510009765625,2499.889892578125,2505.5,546200,0.0,0.0
2023-08-24 00:00:00+09:00,2531.780029296875,2539.43994140625,2520.72998046875,2537.679931640625,440300,0.0,0.0
2023-08-25 00:00:00+09:00,2505.389892578125,2526.3701171875,2502.050048828125,2519.139892578125,576400,0.0,0.0
2023-08-28 00:00:00+09:00,2519.139892578125,2543.409912109375,2519.139892578125,2543.409912109375,483000,0.0,0.0
2023-08-29 00:00:00+09:00,2550.760009765625,2556.97998046875,2545.27001953125,2552.159912109375,440700,0.0,0.0
2023-08-30 00:00:00+09:00,2575.419921875,2578.6201171875,2561.219970703125,2561.219970703125,363000,0.0,0.0
2023-08-31 00:00:00+09:00,2564.449951171875,2568.06005859375,2547.719970703125,2556.27001953125,471900,0.0,0.0
2023-09-01 00:00:00+09:00,2551.929931640625,2568.419921875,2551.0400390625,2563.7099609375,492400,0.0,0.0
2023-09-04 00:00:00+09:00,2566.929931640625,2584.550048828125,2560.320068359375,2584.550048828125,342100,0.0,0.0
2023-09-05 00:00:00+09:00,2578.909912109375,2586.64990234375,2575.18994140625,2582.179931640625,383400,0.0,0.0
2023-09-06 00:00:00+09:00,2577.409912109375,2585.97998046875,2560.090087890625,2563.340087890625,421500,0.0,0.0
2023-09-07 00:00:00+09:00,2554.8701171875,2562.419921875,2539.239990234375,2548.260009765625,376600,0.0,0.0
2023-09-08 00:00:00+09:00,2546.070068359375,2550.9599609375,2530.050048828125,2547.679931640625,395800,0.0,0.0
2023-09-11 00:00:00+09:00,2549.8798828125,2556.889892578125,2540.43994140625,2556.8798828125,410300,0.0,0.0
2023-09-12 00:00:00+09:00,2566.419921875,2568.550048828125,2535.14990234375,2536.580078125,358700,0.0,0.0
2023-09-13 00:00:00+09:00,2536.219970703125,2549.3798828125,2528.179931640625,2534.699951171875,417000,0.0,0.0
2023-09-14 00:00:00+09:00,2544.889892578125,2572.889892578125,2541.110107421875,2572.889892578125,411800,0.0,0.0
2023-09-15 00:00:00+09:00,2574.97998046875,2611.0,2572.3701171875,2601.280029296875,441100,0.0,0.0
2023-09-18 00:00:00+09:00,2588.68994140625,2596.550048828125,2573.260009765625,2574.719970703125,415900,0.0,0.0
2023-09-19 00:00:00+09:00,2579.360107421875,2583.25,2555.4599609375,2559.2099609375,461800,0.0,0.0
2023-09-20 00:00:00+09:00,2556.550048828125,2566.6201171875,2551.1201171875,2559.739990234375,414700,0.0,0.0
2023-09-21 00:00:00+09:00,2544.81005859375,2549.6298828125,2514.9599609375,2514.969970703125,394700,0.0,0.0
2023-09-22 00:00:00+09:00,2491.449951171875,2513.260009765625,2486.139892578125,2508.1298828125,433200,0.0,0.0
2023-09-25 00:00:00+09:00,2504.10009765625,2509.3798828125,2486.43994140625,2495.760009765625,438600,0.0,0.0
2023-09-26 00:00:00+09:00,2493.639892578125,2495.0,2461.590087890625,2462.969970703125,427500,0.0,0.0
2023-09-27 00:00:00+09:00,2447.989990234375,2469.719970703125,2445.510009765625,2465.070068359375,366200,0.0,0.0
2023-10-04 00:00:00+09:00,2435.780029296875,2435.780029296875,2402.840087890625,2405.68994140625,424900,0.0,0.0
2023-10-05 00:00:00+09:00,2423.35009765625,2426.610107421875,2402.5,2403.60009765625,451700,0.0,0.0
2023-10-06 00:00:00+09:00,2408.81005859375,2421.179931640625,2403.919921875,2408.72998046875,289400,0.0,0.0
2023-10-10 00:00:00+09:00,2436.580078125,2448.239990234375,2402.43994140625,2402.580078125,415500,0.0,0.0
2023-10-11 00:00:00+09:00,2436.52001953125,2463.56005859375,2436.52001953125,2450.080078125,446900,0.0,0.0
2023-10-12 00:00:00+09:00,2465.18994140625,2479.820068359375,2464.840087890625,2479.820068359375,515500,0.0,0.0
2023-10-13 00:00:00+09:00,2460.85009765625,2466.6201171875,2452.830078125,2456.14990234375,582400,0.0,0.0
2023-10-16 00:00:00+09:00,2442.429931640625,2453.77001953125,2422.52001953125,2436.239990234375,788400,0.0,0.0
2023-10-17 00:00:00+09:00,2454.139892578125,2466.8701171875,2449.419921875,2460.169921875,508800,0.0,0.0
2023-10-18 00:00:00+09:00,2452.050048828125,2465.330078125,2450.780029296875,2462.60009765625,911500,0.0,0.0
2023-10-19 00:00:00+09:00,2431.919921875,2433.449951171875,2412.550048828125,2415.800048828125,756900,0.0,0.0
2023-10-20 00:00:00+09:00,2391.5400390625,2394.669921875,2364.010009765625,2375.0,520600,0.0,0.0
2023-10-23 00:00:00+09:00,2370.070068359375,2375.7900390625,2354.699951171875,2357.02001953125,395900,0.0,0.0
2023-10-24 00:00:00+09:00,2371.550048828125,2384.139892578125,2326.669921875,2383.510009765625,444200,0.0,0.0
2023-10-25 00:00:00+09:00,2389.22998046875,2389.89990234375,2362.68994140625,2363.169921875,440800,0.0,0.0
2023-10-26 00:00:00+09:00,2325.820068359375,2330.550048828125,2299.080078125,2299.080078125,531100,0.0,0.0
2023-10-27 00:00:00+09:00,2311.590087890625,2321.840087890625,2293.050048828125,2302.81005859375,514900,0.0,0.0
2023-10-30 00:00:00+09:00,2292.340087890625,2317.75,2292.340087890625,2310.550048828125,444800,0.0,0.0
2023-10-31 00:00:00+09:00,2318.389892578125,2322.449951171875,2273.969970703125,2277.989990234375,395000,0.0,0.0
2023-11-01 00:00:00+09:00,2292.889892578125,2312.14990234375,2288.639892578125,2301.56005859375,358200,0.0,0.0
2023-11-02 00:00:00+09:00,2334.9599609375,2351.909912109375,2333.409912109375,2343.1201171875,377500,0.0,0.0
2023-11-03 00:00:00+09:00,2365.590087890625,2370.280029296875,2351.830078125,2368.340087890625,578700,0.0,0.0
2023-11-06 00:00:00+09:00,2399.800048828125,2502.3701171875,2395.030029296875,2502.3701171875,528600,0.0,0.0
2023-11-07 00:00:00+09:00,2476.35009765625,2476.35009765625,2418.739990234375,2443.9599609375,457700,0.0,0.0
2023-11-08 00:00:00+09:00,2460.219970703125,2468.429931640625,2418.139892578125,2421.6201171875,467200,0.0,0.0
2023-11-09 00:00:00+09:00,2425.929931640625,2437.89990234375,2413.0400390625,2427.080078125,395000,0.0,0.0
2023-11-10 00:00:00+09:00,2406.39990234375,2413.6201171875,2393.639892578125,2409.659912109375,312500,0.0,0.0
2023-11-13 00:00:00+09:00,2431.239990234375,2435.320068359375,2399.0400390625,2403.760009765625,307100,0.0,0.0
2023-11-14 00:00:00+09:00,2424.929931640625,2442.3701171875,2422.969970703125,2433.25,307000,0.0,0.0
2023-11-15 00:00:00+09:00,2482.2099609375,2487.419921875,2468.429931640625,2486.669921875,419800,0.0,0.0
